Year,Month,Day,Hour,Minute,GHI,Clearsky GHI,Cloud Type,Wind Speed,Relative Humidity,Temperature,Pressure,GHI_Day_Ahead
2015,1,1,8,30,93,93,0,0.4,66.16,0,970,0
2015,1,1,9,30,236,236,0,0.3,63.72,2,970,89
2015,1,1,10,30,351,351,0,0.3,65.71,5,970,228
2015,1,1,11,30,419,419,0,0.3,70.69,7,960,340
2015,1,1,12,30,432,432,0,0.2,75.98,8,960,407
2015,1,1,13,30,389,389,0,0.2,80.02,8,960,421
2015,1,1,14,30,296,296,0,0.3,95.09,7,960,379
2015,1,1,15,30,164,164,0,0.7,100,4,960,287
2015,1,1,16,30,27,27,0,0.9,100,2,960,158
2015,1,2,8,30,89,89,0,0.3,77.78,2,970,0
2015,1,2,9,30,228,228,0,0.3,77.83,4,970,85
2015,1,2,10,30,340,340,0,0.2,74.95,7,970,101
2015,1,2,11,30,407,407,0,0.2,79.31,8,970,206
2015,1,2,12,30,421,421,0,0.1,80.7,9,960,251
2015,1,2,13,30,379,379,0,0.1,81.02,9,960,320
2015,1,2,14,30,287,287,0,0.2,92.9,8,960,382
2015,1,2,15,30,158,158,0,0.4,100,7,960,291
2015,1,2,16,30,26,26,0,0.5,89.1,5,960,162
2015,1,3,8,30,85,85,0,0.4,92.07,5,970,0
2015,1,3,9,30,101,223,4,0.2,92.1,6,970,39
2015,1,3,10,30,206,337,4,0.2,84.05,8,970,28
2015,1,3,11,30,251,406,4,0.1,83.11,9,970,253
2015,1,3,12,30,320,421,4,0.1,82.11,10,970,267
2015,1,3,13,30,382,382,0,0.1,82.43,11,970,338
2015,1,3,14,30,291,291,0,0.3,90.78,10,970,288
2015,1,3,15,30,162,162,0,0.5,81.57,8,970,210
2015,1,3,16,30,28,28,4,0.6,82.94,7,970,91
2015,1,4,8,30,39,84,4,0.2,97.44,5,970,0
2015,1,4,9,30,28,219,4,0.2,100,7,970,31
2015,1,4,10,30,253,325,4,0.2,93.32,8,970,173
2015,1,4,11,30,267,390,4,0.2,88.85,9,970,269
2015,1,4,12,30,338,404,7,0.1,95.78,9,970,275
2015,1,4,13,30,288,365,7,0.1,99.31,9,970,242
2015,1,4,14,30,210,279,7,0.1,100,8,970,199
2015,1,4,15,30,91,156,7,0.2,100,7,970,202
2015,1,4,16,30,16,28,7,0.3,100,6,970,80
2015,1,5,8,30,31,85,4,0.3,95.39,6,970,0
2015,1,5,9,30,173,223,7,0.3,94.49,8,970,50
2015,1,5,10,30,269,337,4,0.3,94.14,10,970,107
2015,1,5,11,30,275,406,7,0.3,88.34,11,970,337
2015,1,5,12,30,242,423,4,0.3,88.73,12,970,334
2015,1,5,13,30,199,382,7,0.2,94,13,970,420
2015,1,5,14,30,202,293,4,0.2,98.03,12,970,383
2015,1,5,15,30,80,166,7,0.3,100,9,970,295
2015,1,5,16,30,15,31,6,0.4,100,7,970,168
2015,1,6,8,30,50,87,4,0.4,91.33,7,970,0
2015,1,6,9,30,107,226,4,0.4,87,9,970,93
2015,1,6,10,30,337,337,0,0.4,78.25,11,970,237
2015,1,6,11,30,334,405,4,0.3,77.93,13,970,172
2015,1,6,12,30,420,420,0,0.3,81.24,14,970,252
2015,1,6,13,30,383,383,0,0.2,82.68,15,970,441
2015,1,6,14,30,295,295,0,0.2,94.93,14,970,401
2015,1,6,15,30,168,168,0,0.4,100,12,970,310
2015,1,6,16,30,34,34,0,0.5,100,10,970,179
2015,1,7,8,30,93,93,0,0.5,88.97,7,970,0
2015,1,7,9,30,237,237,1,0.4,80.83,9,970,37
2015,1,7,10,30,172,354,3,0.3,74.55,12,970,81
2015,1,7,11,30,252,425,3,0.3,74.79,15,970,222
2015,1,7,12,30,441,441,0,0.2,79.03,16,970,177
2015,1,7,13,30,401,401,0,0.2,80.83,17,970,229
2015,1,7,14,30,310,310,0,0.2,87.41,16,970,272
2015,1,7,15,30,179,179,0,0.5,100,13,970,222
2015,1,7,16,30,38,38,0,0.7,100,11,970,135
2015,1,8,8,30,37,92,4,0.4,92.27,7,970,0
2015,1,8,9,30,81,235,4,0.3,83.93,10,970,51
2015,1,8,10,30,222,350,4,0.3,80.17,13,970,71
2015,1,8,11,30,177,420,4,0.3,77.03,14,960,196
2015,1,8,12,30,229,437,4,0.2,77.78,15,960,263
2015,1,8,13,30,272,397,4,0.2,84.25,15,960,231
2015,1,8,14,30,222,307,4,0.3,97.82,14,960,217
2015,1,8,15,30,135,176,4,0.6,100,12,960,174
2015,1,8,16,30,28,37,4,0.8,100,11,960,117
2015,1,9,8,30,51,89,7,0.3,86.02,8,960,0
2015,1,9,9,30,71,232,4,0.2,84.42,10,960,14
2015,1,9,10,30,196,349,4,0.2,82.05,12,960,62
2015,1,9,11,30,263,421,7,0.1,75.07,13,960,160
2015,1,9,12,30,231,438,7,0,71.67,14,960,191
2015,1,9,13,30,217,401,7,0.1,67.55,15,960,210
2015,1,9,14,30,174,310,7,0.1,78.17,14,960,210
2015,1,9,15,30,117,179,4,0.2,82.21,13,960,193
2015,1,9,16,30,17,39,7,0.2,69.35,12,960,71
2015,1,10,8,30,14,87,4,0.3,91.55,7,960,0
2015,1,10,9,30,62,225,4,0.2,96.08,9,960,14
2015,1,10,10,30,160,337,4,0.1,86.71,10,960,77
2015,1,10,11,30,191,407,4,0.1,82.25,11,960,104
2015,1,10,12,30,210,423,7,0.1,77.5,12,960,104
2015,1,10,13,30,210,382,4,0.1,80.62,12,960,142
2015,1,10,14,30,193,291,4,0.1,90.44,11,960,103
2015,1,10,15,30,71,165,4,0.2,100,10,960,43
2015,1,10,16,30,22,34,4,0.4,100,9,960,95
2015,1,11,8,30,14,81,4,0.1,100,7,960,0
2015,1,11,9,30,77,215,6,0.1,100,7,960,27
2015,1,11,10,30,104,329,6,0.1,100,8,960,18
2015,1,11,11,30,104,400,6,0.2,100,9,960,48
2015,1,11,12,30,142,420,6,0.2,94.6,10,960,62
2015,1,11,13,30,103,385,6,0.1,88.34,10,960,75
2015,1,11,14,30,43,298,7,0.1,94.94,10,960,77
2015,1,11,15,30,95,173,7,0.1,100,9,960,56
2015,1,11,16,30,21,39,7,0.2,100,7,960,35
2015,1,12,8,30,27,86,7,0.1,100,8,970,0
2015,1,12,9,30,18,224,4,0.1,100,8,970,100
2015,1,12,10,30,48,335,4,0.1,100,9,970,82
2015,1,12,11,30,62,407,4,0.1,100,9,970,371
2015,1,12,12,30,75,425,4,0.1,100,10,970,446
2015,1,12,13,30,77,390,4,0.1,100,10,970,466
2015,1,12,14,30,56,304,4,0.1,100,10,970,428
2015,1,12,15,30,35,179,4,0.2,100,9,970,337
2015,1,12,16,30,12,43,4,0.2,100,8,970,203
2015,1,13,8,30,100,100,0,0.4,99.44,4,970,0
2015,1,13,9,30,82,250,3,0.4,94.89,6,970,69
2015,1,13,10,30,371,371,0,0.4,90.59,8,970,147
2015,1,13,11,30,446,446,0,0.4,87.52,10,970,291
2015,1,13,12,30,466,466,0,0.4,79.72,11,970,333
2015,1,13,13,30,428,428,0,0.3,72.31,12,970,339
2015,1,13,14,30,337,337,0,0.2,73.21,11,970,342
2015,1,13,15,30,203,203,0,0.3,95.93,9,970,259
2015,1,13,16,30,54,54,0,0.4,100,6,970,157
2015,1,14,8,30,69,101,4,0.4,81.99,4,970,0
2015,1,14,9,30,147,251,4,0.3,78.09,7,970,51
2015,1,14,10,30,291,372,4,0.2,68.16,10,970,26
2015,1,14,11,30,333,446,4,0.2,63.94,11,970,43
2015,1,14,12,30,339,465,4,0.2,63.32,12,970,170
2015,1,14,13,30,342,428,7,0.1,67.18,12,970,58
2015,1,14,14,30,259,337,7,0.2,79.2,11,970,98
2015,1,14,15,30,157,203,3,0.4,100,9,970,58
2015,1,14,16,30,54,54,4,0.5,99.47,7,970,96
2015,1,15,8,30,51,94,6,0.3,97.3,5,970,0
2015,1,15,9,30,26,234,6,0.3,95.37,6,970,101
2015,1,15,10,30,43,350,6,0.3,94.76,7,970,79
2015,1,15,11,30,170,423,7,0.4,95.73,7,970,128
2015,1,15,12,30,58,442,7,0.4,95.43,8,970,181
2015,1,15,13,30,98,406,7,0.4,99.17,9,960,249
2015,1,15,14,30,58,322,6,0.3,100,9,960,310
2015,1,15,15,30,96,195,6,0.3,100,8,960,226
2015,1,15,16,30,18,53,6,0.2,100,7,960,101
2015,1,16,8,30,101,101,1,0.1,100,8,970,0
2015,1,16,9,30,79,252,3,0.1,100,9,970,11
2015,1,16,10,30,128,375,3,0.2,95.54,11,970,49
2015,1,16,11,30,181,451,7,0.2,87.01,12,970,47
2015,1,16,12,30,249,471,3,0.2,77.98,13,970,228
2015,1,16,13,30,310,434,4,0.2,73.72,13,970,132
2015,1,16,14,30,226,344,7,0.2,78.48,12,970,86
2015,1,16,15,30,101,211,6,0.4,93.97,10,970,12
2015,1,16,16,30,26,61,6,0.8,91.51,8,970,22
2015,1,17,8,30,11,93,7,0.2,100,10,970,0
2015,1,17,9,30,49,233,6,0.3,100,11,970,36
2015,1,17,10,30,47,349,7,0.3,100,12,970,168
2015,1,17,11,30,228,423,7,0.4,100,14,960,234
2015,1,17,12,30,132,442,7,0.4,100,15,960,214
2015,1,17,13,30,86,408,7,0.4,100,15,960,350
2015,1,17,14,30,12,322,4,0.3,100,15,960,294
2015,1,17,15,30,22,195,7,0.2,100,14,960,130
2015,1,17,16,30,55,55,0,0.2,100,13,960,16
2015,1,18,8,30,36,102,4,0.1,100,9,970,0
2015,1,18,9,30,168,252,7,0.2,100,10,970,104
2015,1,18,10,30,234,375,7,0.2,100,10,970,71
2015,1,18,11,30,214,451,8,0.3,98.9,10,970,171
2015,1,18,12,30,350,471,7,0.3,94.16,10,970,176
2015,1,18,13,30,294,434,4,0.2,88.89,10,970,222
2015,1,18,14,30,130,344,4,0.1,91.31,10,970,331
2015,1,18,15,30,16,213,4,0.2,97.84,9,970,351
2015,1,18,16,30,33,64,4,0.4,100,7,970,218
2015,1,19,8,30,104,104,1,0.2,95.71,5,970,0
2015,1,19,9,30,71,254,4,0.2,91.34,7,970,18
2015,1,19,10,30,171,378,4,0.2,81.4,8,970,35
2015,1,19,11,30,176,454,3,0.2,75.18,9,970,84
2015,1,19,12,30,222,476,3,0.2,69.79,10,970,106
2015,1,19,13,30,331,440,2,0.2,69.65,11,970,138
2015,1,19,14,30,351,351,0,0.2,74.82,10,970,159
2015,1,19,15,30,218,218,0,0.2,93.29,8,970,126
2015,1,19,16,30,67,67,0,0.2,100,5,970,98
2015,1,20,8,30,18,106,4,0.2,81.69,3,970,0
2015,1,20,9,30,35,256,4,0.3,75.45,6,970,114
2015,1,20,10,30,84,381,4,0.2,66.29,9,970,75
2015,1,20,11,30,106,458,4,0.2,65.96,11,970,147
2015,1,20,12,30,138,480,4,0.1,64.24,12,970,240
2015,1,20,13,30,159,444,4,0.1,62.13,12,970,489
2015,1,20,14,30,126,356,4,0.1,69.37,11,970,451
2015,1,20,15,30,98,224,4,0.3,90.22,9,970,297
2015,1,20,16,30,72,72,1,0.6,91.25,7,970,153
2015,1,21,8,30,114,114,0,0.3,77.01,4,970,0
2015,1,21,9,30,75,267,4,0.3,70.99,7,970,21
2015,1,21,10,30,147,392,4,0.3,62.74,9,970,79
2015,1,21,11,30,240,469,4,0.3,65.16,11,970,273
2015,1,21,12,30,489,489,0,0.2,65.54,12,970,269
2015,1,21,13,30,451,451,0,0.2,67.05,13,970,242
2015,1,21,14,30,297,361,4,0.2,82.01,12,970,212
2015,1,21,15,30,153,227,4,0.4,100,10,970,144
2015,1,21,16,30,37,74,4,0.7,96.42,8,970,157
2015,1,22,8,30,21,100,4,0.3,78.63,5,970,0
2015,1,22,9,30,79,246,4,0.3,69.47,7,970,107
2015,1,22,10,30,273,374,4,0.2,61.41,10,970,142
2015,1,22,11,30,269,452,4,0.1,60.11,13,970,305
2015,1,22,12,30,242,476,4,0,61.49,14,970,386
2015,1,22,13,30,212,443,4,0,61.24,14,970,344
2015,1,22,14,30,144,355,4,0.1,70.03,14,970,332
2015,1,22,15,30,157,224,3,0.3,86.68,12,970,347
2015,1,22,16,30,74,74,0,0.4,86,11,970,106
2015,1,23,8,30,107,107,1,0.3,92.69,7,980,0
2015,1,23,9,30,142,252,4,0.3,85.65,9,980,57
